url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/shows\/claws\/season-3\/episode-10\/finna,WatchAction,en,US,2020-04-15T08:00:00+00:00,2020-04-22T07:59:59+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-5\/the-marriage-of-True-minds,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/animal-kingdom\/season-4\/episode-2\/angela,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-1\/the-plays-the-thing,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-8\/music-to-my-ears,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/animal-kingdom\/season-4\/episode-1\/janine,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-10\/once-bright-angel,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-20\/angel-heart,WatchAction,en,US,2020-04-16T23:00:00+00:00,2020-04-23T22:59:00+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-7\/girls-girls-girls,WatchAction,en,US,2020-04-13T23:00:00+00:00,2020-04-20T22:59:00+00:00,TNT,TVE
\/shows\/the-last-ship\/season-5\/episode-7\/somos-la-sangre,WatchAction,en,US,2020-04-14T08:00:00+00:00,2020-04-21T07:59:59+00:00,TNT,TVE
\/shows\/american-race\/season-1\/episode-1\/baltimore-rising,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-12\/hell-on-the-high-water,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-14\/the-last-shot-at-a-second-chance,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-19\/the-werther-project,WatchAction,en,US,2020-04-16T22:00:00+00:00,2020-04-23T21:59:00+00:00,TNT,TVE
\/shows\/good-behavior\/season-2\/episode-1\/the-heart-attack-is-the-best-way-uncut,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/claws\/season-3\/episode-8\/what-is-happening-to-america,WatchAction,en,US,2020-04-15T08:00:00+00:00,2020-04-22T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-17\/hyde-school-reunion,WatchAction,en,US,2020-04-16T14:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-20\/nola-confidential,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-13\/return-of-the-king,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-16\/the-strike-in-the-chord,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-15\/i-dream-of-phoebe,WatchAction,en,US,2020-04-15T16:00:00+00:00,2020-04-23T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-11\/let-it-ride,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-14\/pandoras-box-part-ii,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-18\/spin-city,WatchAction,en,US,2020-04-16T15:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-15\/the-fight-in-the-fixer,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/claws\/season-3\/episode-6\/fly-like-an-eagle,WatchAction,en,US,2020-04-15T08:00:00+00:00,2020-04-22T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-19\/crimes-and-witch-demeanors,WatchAction,en,US,2020-04-16T16:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-12\/about-a-boy,WatchAction,en,US,2020-04-14T23:00:00+00:00,2020-04-21T22:59:00+00:00,TNT,TVE
\/shows\/animal-kingdom\/season-4\/episode-4\/tank,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/american-race\/season-1\/episode-4\/the-divided-states-of-america,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TNT,TVE
\/shows\/good-behavior\/season-2\/episode-3\/because-im-mrs-claus-uncut,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-9\/overdrive,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-17\/swift-silent-deadly,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-23\/its-a-bad-bad-bad-bad-world-part-2,WatchAction,en,US,2020-04-17T16:00:00+00:00,2020-04-25T07:59:59+00:00,TNT,TVE
\/shows\/the-last-ship\/season-5\/episode-10\/commitment,WatchAction,en,US,2020-04-14T08:00:00+00:00,2020-04-21T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-13\/used-karma,WatchAction,en,US,2020-04-15T14:00:00+00:00,2020-04-23T07:59:59+00:00,TNT,TVE
\/shows\/the-last-ship\/season-5\/episode-9\/courage,WatchAction,en,US,2020-04-14T08:00:00+00:00,2020-04-21T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-6\/one-good-man,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-5\/episode-23\/oh-my-goddess-part-2,WatchAction,en,US,2020-04-13T09:00:00+00:00,2020-04-21T07:59:59+00:00,TNT,TVE
\/shows\/claws\/season-3\/episode-9\/melba-toast,WatchAction,en,US,2020-04-15T08:00:00+00:00,2020-04-22T07:59:59+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-7\/the-promise-in-the-palace,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/claws\/season-3\/episode-7\/chicken-py,WatchAction,en,US,2020-04-15T08:00:00+00:00,2020-04-22T07:59:59+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-4\/brave-new-world,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-21\/dark-dynasty,WatchAction,en,US,2020-04-17T00:00:00+00:00,2020-04-23T23:59:00+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-9\/the-cowboy-in-the-contest,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/good-behavior\/season-2\/episode-4\/i-think-its-a-sign-uncut,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/american-race\/season-1\/episode-3\/entertainment-still-so-white,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TNT,TVE
\/shows\/good-behavior\/season-2\/episode-2\/i-want-you-to-leave-a-person-alive-for-once-uncut,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-12\/the-murder-of-the-meninist,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-2\/cowards-die-many-times,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/good-behavior\/season-2\/episode-5\/you-could-discover-me-uncut,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-15\/end-of-the-line,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-13\/the-monster-in-the-closet,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-8\/hibbing-911,WatchAction,en,US,2020-04-14T00:00:00+00:00,2020-04-20T23:59:00+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-8\/your-houses,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/the-last-ship\/season-5\/episode-6\/air-drop,WatchAction,en,US,2020-04-14T08:00:00+00:00,2020-04-21T07:59:59+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-8\/high-treason-in-the-holiday-season,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-7\/episode-1\/a-call-to-arms,WatchAction,en,US,2020-04-17T17:00:00+00:00,2020-04-25T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-18\/slay-the-dragon,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/animal-kingdom\/season-4\/episode-5\/reap,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-11\/the-death-in-the-defense,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-14\/the-legend-of-sleepy-halliwell,WatchAction,en,US,2020-04-15T15:00:00+00:00,2020-04-23T07:59:59+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-7\/what-dreams-may-come,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/american-race\/season-1\/episode-2\/muslim-is-the-new-black,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-6\/ask-jeeves,WatchAction,en,US,2020-04-13T22:00:00+00:00,2020-04-20T21:59:00+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-10\/the-doom-in-the-boom,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-9\/play-the-devil,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-3\/the-two-gentlemen,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-21\/witch-wars,WatchAction,en,US,2020-04-17T14:00:00+00:00,2020-04-25T07:59:59+00:00,TNT,TVE
\/shows\/animal-kingdom\/season-4\/episode-3\/man-vs-rock,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-6\/something-wicked-this-way-comes,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-14\/the-executioners-song,WatchAction,en,US,2020-04-15T01:00:00+00:00,2020-04-22T00:59:00+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-7\/outlaws,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-10\/follow-the-money,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-19\/quid-pro-quo,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/the-last-ship\/season-5\/episode-8\/honor,WatchAction,en,US,2020-04-14T08:00:00+00:00,2020-04-21T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-16\/the-last-stand,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-11\/theres-no-place-like-home,WatchAction,en,US,2020-04-14T22:00:00+00:00,2020-04-21T21:59:00+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-13\/halt-catch-fire,WatchAction,en,US,2020-04-15T00:00:00+00:00,2020-04-21T23:59:00+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-22\/its-a-bad-bad-bad-bad-world-part-1,WatchAction,en,US,2020-04-17T15:00:00+00:00,2020-04-25T07:59:59+00:00,TNT,TVE
